line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	tyne-and-wear.txt	Whitley Bay	resolved	55.0422091	-1.4454353	town	OpenStreetMap/Nominatim (town place)
2	tyne-and-wear.txt	Monkseaton	resolved	55.0411812	-1.4637275	suburb	OpenStreetMap/Nominatim
3	tyne-and-wear.txt	Spanish City	resolved	55.0476220	-1.4475989	attraction	Historic seafront complex; OSM building/retail footprint
4	tyne-and-wear.txt	Whitley Bay Promenade	resolved	55.0458000	-1.4452000	promenade	Judged central seafront strip between town centre and Spanish City
5	tyne-and-wear.txt	Briar Dene	resolved	55.0575550	-1.4551850	dene	Coastal dene/pub locale; WGS84 from Geograph subject tags (NZ3473); no direct OSM name hit
6	tyne-and-wear.txt	St Mary's Island	resolved	55.0644490	-1.4583595	island	OSM tourism=information (visitor context on causeway island)
7	tyne-and-wear.txt	St Mary's Lighthouse	resolved	55.0716819	-1.4494326	lighthouse	OpenStreetMap/Nominatim (St. Marys Lighthouse)
8	tyne-and-wear.txt	Cullercoats	resolved	55.0352433	-1.4341253	suburb	OpenStreetMap/Nominatim
9	tyne-and-wear.txt	Cullercoats Bay	resolved	55.0344035	-1.4312323	bay	OpenStreetMap/Nominatim (natural bay)
10	tyne-and-wear.txt	Cullercoats Beach	resolved	55.0350000	-1.4328000	beach	Shore of Cullercoats Bay; judged coastal access (no beach polygon in Nominatim)
11	tyne-and-wear.txt	Brown's Bay	resolved	55.0393006	-1.4300951	bay	OpenStreetMap/Nominatim
12	tyne-and-wear.txt	King Edward's Bay	resolved	55.0195178	-1.4199010	beach	OpenStreetMap/Nominatim
13	tyne-and-wear.txt	King Edwards Bay	resolved	55.0194556	-1.4191826	bay	OpenStreetMap/Nominatim (alternate apostrophe styling in OSM)
14	tyne-and-wear.txt	Tynemouth	resolved	55.0177847	-1.4256042	town	OpenStreetMap/Nominatim
15	tyne-and-wear.txt	Tynemouth Priory and Castle	resolved	55.0178826	-1.4177915	castle	OpenStreetMap/Nominatim (historic castle)
16	tyne-and-wear.txt	Prior's Haven	resolved	55.0168190	-1.4158010	harbour	Wikimedia Commons / map reading for Prior's Haven inlet (Tynemouth)
17	tyne-and-wear.txt	Priors Haven	resolved	55.0168190	-1.4158010	harbour	Same coastal inlet; alternate apostrophe in source list
18	tyne-and-wear.txt	Sharpness Point	resolved	55.0228105	-1.4201147	headland	OpenStreetMap/Nominatim (natural cape)
19	tyne-and-wear.txt	Longsands	resolved	55.0277890	-1.4276033	beach	OpenStreetMap/Nominatim
20	tyne-and-wear.txt	Longsands Beach	resolved	55.0277890	-1.4276033	beach	Same OSM beach feature as Longsands
21	tyne-and-wear.txt	Long Sands	resolved	55.0277890	-1.4276033	beach	Local name for Tynemouth Longsands; same OSM feature
22	tyne-and-wear.txt	Long Sands North	resolved	55.0302500	-1.4264500	beach	North end of Longsands (judged along-shore)
23	tyne-and-wear.txt	Long Sands South	resolved	55.0253500	-1.4289500	beach	South end of Longsands (judged along-shore)
24	tyne-and-wear.txt	Tynemouth Long Sands North	resolved	55.0302500	-1.4264500	beach	Same north section as Long Sands North; alternate wording
25	tyne-and-wear.txt	Tynemouth Long Sands South	resolved	55.0253500	-1.4289500	beach	Same south section as Long Sands South; alternate wording
26	tyne-and-wear.txt	North Shields	resolved	55.0087655	-1.4471035	town	OpenStreetMap/Nominatim
27	tyne-and-wear.txt	North Shields Fish Quay	resolved	55.0102500	-1.4328500	harbour	Judged Tyne quayside (Nominatim top hit was a bus stop)
28	tyne-and-wear.txt	Fish Quay	resolved	55.0102000	-1.4335000	harbour	North Shields fish quay frontage (Nominatim street hit weak; map-centred)
29	tyne-and-wear.txt	Clifford's Fort	resolved	55.0107540	-1.4321782	historic	OSM information board at Clifford's Fort (scheduled fort/moat complex)
30	tyne-and-wear.txt	Low Lights	resolved	55.0112189	-1.4321781	historic	OSM parking node at foot of Low Lights leading lights; feature pinned to documented light site
31	tyne-and-wear.txt	High Lights	resolved	55.0086300	-1.4377930	historic	Fish Quay New High Light (paired leading light with Low Light); WGS84 from published light listing
32	tyne-and-wear.txt	Smith's Dock	resolved	55.0028362	-1.4466307	dock	OpenStreetMap/Nominatim (The Plateau, Smith's Dock)
33	tyne-and-wear.txt	Royal Quays Marina	resolved	54.9968522	-1.4522115	marina	OpenStreetMap/Nominatim (Royal Quays Marina Boatyard)
34	tyne-and-wear.txt	Royal Quays	resolved	54.9963845	-1.4648611	retail	OpenStreetMap/Nominatim (Royal Quays Outlet Centre node; wider quays/marina quarter)
35	tyne-and-wear.txt	Albert Edward Dock	resolved	54.9959425	-1.4525395	dock	OpenStreetMap/Nominatim
36	tyne-and-wear.txt	Meadow Well	resolved	55.0015620	-1.4656759	suburb	OpenStreetMap/Nominatim (Meadow Well neighbourhood)
37	tyne-and-wear.txt	Percy Main	resolved	54.9995678	-1.4746255	suburb	OpenStreetMap/Nominatim
38	tyne-and-wear.txt	Howdon	resolved	54.9959066	-1.4941598	suburb	OpenStreetMap/Nominatim
39	tyne-and-wear.txt	Willington Quay	resolved	54.9918727	-1.4953291	suburb	OpenStreetMap/Nominatim
40	tyne-and-wear.txt	Marden Quarry	resolved	55.0363878	-1.4455559	nature_reserve	OpenStreetMap/Nominatim (Marden Quarry LNR)
41	tyne-and-wear.txt	Walker	resolved	54.9716047	-1.5541737	suburb	OpenStreetMap/Nominatim
42	tyne-and-wear.txt	Walker Riverside	resolved	54.9763551	-1.5387520	industrial	OpenStreetMap/Nominatim (Walker Riverside Industrial Park / milepost node)
43	tyne-and-wear.txt	St Anthony's	resolved	54.9677291	-1.5572146	suburb	OpenStreetMap/Nominatim (St Anthonys locality, Walker)
44	tyne-and-wear.txt	Hebburn	resolved	54.9726376	-1.5173449	town	OpenStreetMap/Nominatim
45	tyne-and-wear.txt	Hebburn Riverside	resolved	54.9656713	-1.5312470	park	OpenStreetMap/Nominatim (Riverside Park)
46	tyne-and-wear.txt	Jarrow	resolved	54.9812514	-1.4908447	town	OpenStreetMap/Nominatim
47	tyne-and-wear.txt	Jarrow Slake	resolved	54.9847216	-1.4736258	bay	OpenStreetMap/Nominatim (Jarrow Slake and Barrow)
48	tyne-and-wear.txt	Shields Ferry	resolved	55.0037750	-1.4440591	ferry	OpenStreetMap/Nominatim (North Shields Ferry Terminal; cross-river Shields Ferry)
49	tyne-and-wear.txt	Tyne Ferry	resolved	54.9972241	-1.4410983	ferry	OpenStreetMap/Nominatim (South Shields Ferry Terminal)
