line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	waterford.txt	Creadan Head	resolved	52.18175	-6.95237	headland	eOceanic haven position N of point; alt. spell. Creaden.
2	waterford.txt	Kilfarrasy Strand	resolved	52.134844	-7.233568	beach	Wikimedia/Geograph camera location; Copper Coast W of Tramore.
3	waterford.txt	Kilfarrasy Beach	resolved	52.134756	-7.234008	beach	Wikimedia depicted-place coords; same bay as strand.
4	waterford.txt	Annestown	resolved	52.141388	-7.277061	village	Wikipedia centroid; Copper Coast village.
5	waterford.txt	Annestown Beach	resolved	52.139297	-7.272949	beach	Published GPS near strand; cove W of village centre.
6	waterford.txt	Annestown Bay	resolved	52.1405	-7.2745	bay	Approx. open bay in front of village/beach.
7	waterford.txt	Boatstrand	resolved	52.137	-7.307	village	Wikipedia; Trá na mBád; Dunabrattin area.
8	waterford.txt	Boatstrand Harbour	resolved	52.13745	-7.30237	harbour	eOceanic haven at N pier head (Dunabrattin).
9	waterford.txt	Trá na mBó	resolved	52.144683	-7.364339	beach	Copper Coast Geopark map centre; W of Bunmahon headland.
10	waterford.txt	Tra na mBó	resolved	52.144683	-7.364339	beach	ASCII spelling; same feature as line 9.
11	waterford.txt	Ballyquin	resolved	51.986	-7.654	locality	Approx. Ballyquin near Ardmore (Discover Ireland ~4 km NE; no OSM hit).
12	waterford.txt	Ballyquin Strand	resolved	51.9865	-7.6535	beach	Same bay feature as Ballyquin; slight offset along strand.
13	waterford.txt	Benvoy	resolved	52.1456	-7.2925	locality	Townlands.ie centroid; An Bhinn Bhuí E of Annestown.
14	waterford.txt	Benvoy Beach	resolved	52.1456	-7.2925	beach	Sandy beach at Benvoy townland; coords from townland centre.
15	waterford.txt	Ballydowane	resolved	52.1315	-7.4055	locality	Coastal townland near cove; approx. inland of beach.
16	waterford.txt	Ballydowane Cove	resolved	52.1315369	-7.4059038	cove	OSM natural=beach “Ballydowane Cove”.
17	waterford.txt	Ballydowane Stack	resolved	52.1309	-7.4063	sea_stack	Approx. offshore stacks at Ballydowane bay mouth.
18	waterford.txt	Knockmahon	resolved	52.144683	-7.364339	locality	Geosite area centroid (Knockmahon / Bunmahon head).
19	waterford.txt	Knockmahon Strand	resolved	52.140278	-7.3625	beach	Ogham stones site coords on Knockmahon strand (Megalithic Ireland).
20	waterford.txt	Stage Cove	resolved	52.137795	-7.353217	cove	OSM “Stage Cove”; Knockmahon geosite slip area.
21	waterford.txt	Bunmahon	resolved	52.140	-7.372	village	Wikipedia; Bun Machan; mouth of River Mahon.
22	waterford.txt	Bonmahon	resolved	52.140	-7.372	village	Common English spelling; same settlement as Bunmahon.
23	waterford.txt	Bunmahon Beach	resolved	52.1382955	-7.3697847	beach	OSM “Bunmahon Strand” beach polygon centroid.
24	waterford.txt	Bunmahon Strand	resolved	52.1382955	-7.3697847	beach	Same OSM feature as main village beach.
25	waterford.txt	Copper Coast Bunmahon	resolved	52.140	-7.372	attraction	Interpreted as Bunmahon hub of Copper Coast Geopark; village centroid.
26	waterford.txt	Tankardstown Cove	resolved	52.1369	-7.328	cove	Approx. coastal inlet below Tankardstown mine (Geograph WGS84 nearby).
27	waterford.txt	Stradbally	resolved	52.1307807	-7.4616828	village	OSM village relation; inland of cove.
28	waterford.txt	Stradbally Cove	resolved	52.118333	-7.460983	cove	eOceanic haven mid-cove (Cuas na Straidbhaile).
29	waterford.txt	Stradbally Beach	resolved	52.118333	-7.460983	beach	Sandy shore inside Stradbally Cove; same centroid as cove haven.
30	waterford.txt	Fenor	resolved	52.161596	-7.226124	village	Wikipedia; Fionnúir; R675 Copper Coast.
31	waterford.txt	Fenor Coast	resolved	52.1595	-7.228	coast	Coastal strip S of Fenor village toward shoreline; R675 Copper Coast.
32	waterford.txt	Ballyvoyle Cove	resolved	52.1153	-7.5053	cove	Townlands.ie Ballyvoyle centroid; cove on this townland’s Copper Coast frontage W of Stradbally.
33	waterford.txt	Ballynacourty	resolved	52.0853828	-7.5592307	locality	Nominatim “Ballynacourty, Ballinacourty, Clonea” (Dungarvan–Lismore MD).
34	waterford.txt	Ballynacourty Point	resolved	52.07978	-7.55897	headland	OSM node near Irish Lights Ballinacourty Point lighthouse position.
35	waterford.txt	Tramore	resolved	52.158333	-7.152222	town	Wikipedia centroid; Trá Mhór seaside town.
36	waterford.txt	Tramore Beach	resolved	52.152397	-7.112763	beach	OSM “Tramore Strand” beach polygon.
37	waterford.txt	Tramore Strand	resolved	52.152397	-7.112763	beach	Same OSM beach feature as main strand.
38	waterford.txt	Tramore Bay	resolved	52.1478204	-7.1320933	bay	OSM natural=bay “Tramore Bay” (County Waterford).
39	waterford.txt	Tramore Promenade	resolved	52.1593219	-7.1437159	promenade	OSM highway=pedestrian “The Promenade”.
40	waterford.txt	Tramore Back Strand	resolved	52.154	-7.118	beach	Behind-dune lagoon/back-strand W of main beach; approx. from local beach geography (no single OSM POI).
41	waterford.txt	Saleens	resolved	52.1531612	-7.0828045	lagoon	Nominatim “Saleens” Rathmoylan ED; tidal lagoon (“the river”) E of Tramore Bay.
42	waterford.txt	Saleens Beach	resolved	52.1531612	-7.0828045	beach	Same Saleens lagoon/foreshore feature as line 41.
43	waterford.txt	Newton Cove	resolved	52.1432044	-7.1664735	cove	Treated as spelling variant of Newtown Cove; Nominatim “Newtown Cove”.
44	waterford.txt	Newtown Cove	resolved	52.1432044	-7.1664735	cove	Nominatim “Newtown Cove, Islandikane”.
45	waterford.txt	Brownstown Head	resolved	52.1275261	-7.1084747	headland	Nominatim “Brownstown Head, The Estuary, Tramore”.
46	waterford.txt	Ladies Slip	resolved	52.1562	-7.1325	beach	Historic changing/swim frontage on Tramore main beach (“Ladies’ Slip”); approx. E-central strand (no OSM POI).
47	waterford.txt	Raford	not_found				No coastal Waterford gazetteer/OSM hit; only distant “Raford” townlands elsewhere—likely typo or hyper-local label.
48	waterford.txt	Ballymacaw	resolved	52.1474517	-7.0438925	locality	Nominatim townland centroid; cove hamlet W of Dunmore East.
49	waterford.txt	Ballymacaw Bay	resolved	52.1435	-7.048	bay	Approx. open water of small bay W of Dunmore; between townland centroid and OSM Ballymacaw Cove beach.
50	waterford.txt	Woodstown	resolved	52.1970905	-6.9782948	locality	OSM “Woodstown Strand” linear/placename; sandy harbour shore W of Dunmore East (not the inland Viking site).
51	waterford.txt	Woodstown Bay	resolved	52.1985	-6.985	bay	Approx. harbour inlet offshore of Woodstown Strand along Waterford Harbour.
52	waterford.txt	Woodstown Pier	resolved	52.1971	-6.9783	pier	Approx. small pier/slip at Woodstown Strand access (no dedicated OSM hit).
53	waterford.txt	Faithlegg	resolved	52.2577682	-7.0243886	locality	Faithlegg House hotel centroid; nearest strong OSM anchor to scattered Faithlegg settlement.
54	waterford.txt	Faithlegg Quay	resolved	52.2393689	-6.9725063	quay	OSM “The Quay”, Faithlegg (riverside landings).
55	waterford.txt	Cheekpoint	resolved	52.2689939	-6.9958602	village	Nominatim Cheekpoint village (Suir estuary).
56	waterford.txt	Cheekpoint Pier	resolved	52.2686	-6.9945	pier	Approx. village waterfront landing; no single OSM pier name.
57	waterford.txt	Passage East	resolved	52.239197	-6.9730341	village	Nominatim Passage East (Waterford Harbour).
58	waterford.txt	Passage East Ferry	resolved	52.2394	-6.9725	ferry	Approx. Passage East–Ballyhack ferry berth near village quays (no Nominatim hit).
59	waterford.txt	Crooke	resolved	52.22886	-6.9740951	village	Nominatim Crooke (King’s Channel shore).
60	waterford.txt	Crooke Point	resolved	52.2325	-6.9685	headland	Approx. tip of Crooke toward King’s Channel / Passage East (no OSM “Crooke Point”).
61	waterford.txt	Copper Coast Drive	resolved	52.142	-7.27	scenic_route	Representative point on R675 Copper Coast scenic corridor E of Annestown.
62	waterford.txt	Copper Coast Road	resolved	52.133	-7.395	scenic_route	Mid-geopark coastal road between Ballydowane and Stradbally.
63	waterford.txt	R675 Copper Coast	resolved	52.1505	-7.195	road	Coastal R675 cliff section between Tramore and Fenor.
64	waterford.txt	Copper Coast UNESCO Geopark	resolved	52.142278	-7.365139	geopark	Wikidata Copper Coast Geopark coordinate.
65	waterford.txt	UNESCO Copper Coast	resolved	52.138611	-7.342222	geopark	GGN infosheet centre; same designated area as line 64.
66	waterford.txt	Dunmore East	resolved	52.155	-6.996	town	Wikipedia / GeoHack village centroid.
