line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	west-dunbartonshire.txt	Old Kilpatrick	resolved	55.9260686	-4.4617288	village	OpenStreetMap/Nominatim village node
2	west-dunbartonshire.txt	Old Kilpatrick shore	resolved	55.9252000	-4.4600000	shore	Approximate Clyde/Old Kilpatrick waterfront; no distinct OSM object
3	west-dunbartonshire.txt	Old Kilpatrick foreshore	resolved	55.9248000	-4.4595000	foreshore	Approximate intertidal strip Old Kilpatrick; no distinct OSM object
4	west-dunbartonshire.txt	Old Kilpatrick Beach	resolved	55.9245000	-4.4598000	beach	Approximate coastal beach strip Old Kilpatrick (cf. Gazetteer for Scotland coords for village)
5	west-dunbartonshire.txt	Old Kilpatrick Roman Fort	resolved	55.9276271	-4.4559562	ruins	Antonine Wall fort trace Mount Pleasant area; OSM ruins along wall
6	west-dunbartonshire.txt	Antonine Wall Old Kilpatrick	resolved	55.9272069	-4.4543558	historic	OpenStreetMap Antonine Wall segment Great Western Road
7	west-dunbartonshire.txt	Gavinburn	resolved	55.9298322	-4.4696798	farmyard	Gavinburn Farm node Mountblow/Old Kilpatrick
8	west-dunbartonshire.txt	Gavinburn Roman Fort	ambiguous			historic	No separate OSM object; archaeology tied to Antonine Wall sector near Gavinburn
9	west-dunbartonshire.txt	Dalnottar	resolved	55.9234035	-4.4640243	waterway	Dalnottar Burn; nearest named OSM feature to Dalnottar label
10	west-dunbartonshire.txt	Dalnottar Hill	resolved	55.9212115	-4.4523391	residential	Dalnottar Hill Road centroid
11	west-dunbartonshire.txt	St Patrick's Well	not_found			unknown	No verifiable well feature in OSM for Old Kilpatrick; unrelated hits elsewhere
12	west-dunbartonshire.txt	Old Kilpatrick Parish Church	not_found			unknown	No matching church POI in OSM/Nominatim for this name
13	west-dunbartonshire.txt	Old Kilpatrick Secession Church	not_found			unknown	No matching church POI in OSM/Nominatim for this name
14	west-dunbartonshire.txt	Old Kilpatrick railway station	resolved	55.9241104	-4.4528360	station	OSM names station Kilpatrick; on Station Road Old Kilpatrick
15	west-dunbartonshire.txt	Auchentorlie	resolved	55.9340377	-4.5022380	isolated_dwelling	Auchentorlie House near Bowling canal corridor
16	west-dunbartonshire.txt	Barnhill	resolved	55.9481122	-4.5253808	locality	Barnhill Milton; isolated_dwelling node
