line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	west-sussex.txt	West Wittering	resolved	50.7833912	-0.8919931	suburb	Nominatim (administrative area West Wittering, Chichester).
2	west-sussex.txt	West Wittering Beach	resolved	50.7608	-0.8592	beach	No direct Nominatim hit; representative point on main public foreshore S of the village (toward East Head).
3	west-sussex.txt	East Head	resolved	50.7886443	-0.9112571	headland	Nominatim (East Head sand-dune spit, West Wittering).
4	west-sussex.txt	Thorney Island	resolved	50.8155331	-0.9251693	peninsula	Nominatim landuse=military “Baker Barracks : Thorney Island” (covers most of the island).
5	west-sussex.txt	Sandy Point	resolved	50.778791	-0.939949	nature_reserve	Sandy Point LNR at Chichester Harbour entrance (Hayling Island, Hampshire); statutory centroid from planning.data.gov.uk entity point.
6	west-sussex.txt	Pilsey Island	resolved	50.8009627	-0.9073682	island	Nominatim (Pilsey Island, Chichester Harbour).
7	west-sussex.txt	Itchenor	resolved	50.7997820	-0.8737383	village	Colloquially “Itchenor”; OSM/Nominatim place name is West Itchenor.
8	west-sussex.txt	Itchenor Reach	ambiguous			waterway	Tidal channel/reach in Chichester Harbour; no single map pin.
9	west-sussex.txt	West Itchenor	resolved	50.7997820	-0.8737383	village	Nominatim (West Itchenor).
10	west-sussex.txt	Bosham	resolved	50.8261139	-0.8390211	village	Nominatim (Bosham).
11	west-sussex.txt	Bosham Quay	resolved	50.8281935	-0.8599591	harbour	Nominatim hit is Bosham Sailing Club on the quay road; represents Bosham harbour frontage.
12	west-sussex.txt	Chidham	resolved	50.8298250	-0.8840078	hamlet	Nominatim (Chidham).
13	west-sussex.txt	Dell Quay	resolved	50.8192731	-0.8161671	hamlet	Nominatim (Dell Quay, Apuldram).
14	west-sussex.txt	Birdham	resolved	50.7940105	-0.8336022	village	Nominatim (Birdham).
15	west-sussex.txt	Birdham Pool	resolved	50.8034749	-0.8312067	marina	Nominatim (Birdham Pool).
16	west-sussex.txt	Cobnor	resolved	50.8141	-0.8884	hamlet	No place=cobnor in Nominatim; point on Cobnor Rithe near named Cobnor features (distinct from Cobnor Point).
17	west-sussex.txt	Cobnor Point	resolved	50.8116301	-0.8767813	cape	Nominatim (natural=cape Cobnor Point).
18	west-sussex.txt	Nutbourne	resolved	50.8438639	-0.8960870	village	Nominatim (Nutbourne, Chichester).
19	west-sussex.txt	Prinsted	resolved	50.8443898	-0.9138975	hamlet	Nominatim (Prinsted).
20	west-sussex.txt	Fishbourne	resolved	50.8366434	-0.8190780	village	Nominatim (Fishbourne).
21	west-sussex.txt	Southbourne	resolved	50.8422818	-0.9138832	village	Nominatim (Southbourne, Prinsted area).
22	west-sussex.txt	West Thorney	resolved	50.8099941	-0.9247080	village	Nominatim (West Thorney).
23	west-sussex.txt	Westlands	ambiguous			locality	Nominatim “Westlands” resolves to Cowfold (Horsham); likely Thorney Island / West Thorney locality not indexed—left unresolved.
24	west-sussex.txt	Chichester Harbour	resolved	50.8132069	-0.8964437	harbour	Nominatim (Chichester Harbour).
25	west-sussex.txt	Chichester Harbour Entrance	resolved	50.7652	-0.9045	channel	Approximate harbour mouth between West Wittering and Hayling; no clean Nominatim object.
26	west-sussex.txt	East Wittering	resolved	50.7684833	-0.8615492	village	Nominatim (East Wittering).
27	west-sussex.txt	East Wittering Beach	resolved	50.7662	-0.8548	beach	No direct Nominatim hit; representative foreshore E of village centre.
28	west-sussex.txt	Bracklesham	resolved	50.7623646	-0.8588272	village	Nominatim (Bracklesham).
29	west-sussex.txt	Bracklesham Bay	resolved	50.7655	-0.8558	bay	Nominatim top hit was a café; centroid chosen for open bay W of Selsey Bill.
30	west-sussex.txt	Bracklesham Beach	resolved	50.7635	-0.858	beach	No direct Nominatim hit; representative shingle beach by Bracklesham settlement.
31	west-sussex.txt	Earnley	resolved	50.7615064	-0.8368306	village	Nominatim (Earnley, Chichester).
32	west-sussex.txt	Highleigh	resolved	50.7779549	-0.8029990	village	Nominatim (Highleigh).
33	west-sussex.txt	Almodington	resolved	50.7726851	-0.8292458	hamlet	Nominatim (Almodington).
34	west-sussex.txt	Manhood Peninsula	resolved	50.7769753	-0.8738316	peninsula	Nominatim (Manhood Peninsula).
35	west-sussex.txt	Selsey	resolved	50.7327781	-0.7922896	town	Nominatim (Selsey).
36	west-sussex.txt	Selsey Bill	resolved	50.7232576	-0.7855141	headland	Nominatim (Selsey Bill).
37	west-sussex.txt	Selsey Beach	resolved	50.7265	-0.794	beach	Representative foreshore W of Selsey centre; Nominatim hit was a house name.
38	west-sussex.txt	Selsey East Beach	resolved	50.73	-0.778	beach	Eastern shingle frontage toward Pagham; Nominatim returned unrelated POI.
39	west-sussex.txt	Selsey West Beach	resolved	50.7225	-0.798	beach	Western frontage toward Selsey Bill; Nominatim returned unrelated POI.
40	west-sussex.txt	Selsey Lifeboat Station	resolved	50.7283616	-0.7801497	lifeboat_station	Nominatim (Selsey Lifeboat Station, Kingsway).
41	west-sussex.txt	Cakeham	resolved	50.772487	-0.888443	hamlet	Cakeham Manor / historic hamlet (West Wittering parish); no clean place node in Nominatim.
42	west-sussex.txt	Pagham	resolved	50.7706947	-0.7394133	village	Nominatim (Pagham).
43	west-sussex.txt	Pagham Beach	resolved	50.768	-0.739	beach	Foreshore by Harbour Road; Nominatim hit was a café premises.
44	west-sussex.txt	Pagham Harbour	resolved	50.7621239	-0.7652700	harbour	Nominatim (Pagham Harbour).
45	west-sussex.txt	Church Norton	resolved	50.7526857	-0.7686069	village	Nominatim (Church Norton).
46	west-sussex.txt	Sidlesham	resolved	50.7680212	-0.7935466	village	Nominatim (Sidlesham).
47	west-sussex.txt	Sidlesham Quay	resolved	50.7691040	-0.7796657	quay	Nominatim (Sidlesham Quay).
48	west-sussex.txt	Medmerry	resolved	50.7530096	-0.8216351	coastal_realignment	Nominatim top hit was a caravan park; RSPB Medmerry reserve centroid used for the coastal scheme.
49	west-sussex.txt	Medmerry Beach	resolved	50.7489715	-0.8329506	beach	Nominatim (Medmerry Beach).
50	west-sussex.txt	Medmerry Nature Reserve	resolved	50.7530096	-0.8216351	nature_reserve	RSPB Medmerry (Nominatim).
51	west-sussex.txt	Pagham Harbour North Wall	resolved	50.76905	-0.7589	seawall	North Wall seawall viewpoint; BirdGuides site map coordinates (no clean Nominatim object).
52	west-sussex.txt	Breach Pool	resolved	50.7632	-0.7878	lagoon	Small LNR scrape on the north shore; no OSM feature—approximate viewing area.
53	west-sussex.txt	Ferry Pool	resolved	50.7606125	-0.7879454	pond	Nominatim (water=Ferry Pool, Sidlesham).
54	west-sussex.txt	Nyetimber	resolved	50.7787853	-0.7352328	village	Nominatim (Nyetimber).
55	west-sussex.txt	South Bersted	resolved	50.79403	-0.67517	village	Wikipedia infobox coordinates (St Mary Magdalene); Nominatim hits were amenities in Bersted Street.
56	west-sussex.txt	Flansham	resolved	50.8030479	-0.6371474	hamlet	Nominatim (Flansham).
57	west-sussex.txt	Donnington	resolved	50.8116379	-0.7899659	village	Nominatim (Donnington, Chichester).
58	west-sussex.txt	Bognor Regis	resolved	50.7834973	-0.6730718	town	Nominatim (Bognor Regis).
59	west-sussex.txt	Bognor	resolved	50.7835	-0.6731	town	Colloquial short name for Bognor Regis; same town centroid.
60	west-sussex.txt	Bognor Regis Pier	resolved	50.7816113	-0.6760204	pier	Nominatim guidepost “Pier” on The Esplanade.
61	west-sussex.txt	Bognor Regis East Beach	resolved	50.7825	-0.668	beach	No clean Nominatim beach object; representative foreshore E of the pier toward Felpham.
62	west-sussex.txt	Bognor Regis West Beach	resolved	50.7825	-0.683	beach	No clean Nominatim beach object; representative foreshore W of the pier toward Aldwick.
63	west-sussex.txt	Aldwick	resolved	50.7815190	-0.7065119	village	Nominatim (Aldwick administrative boundary).
64	west-sussex.txt	Aldwick Bay	resolved	50.7792	-0.695	bay	No Nominatim feature; open bay/foreshore in front of Aldwick (human-map centroid).
65	west-sussex.txt	Felpham	resolved	50.7904582	-0.6541200	town	Nominatim (Felpham).
66	west-sussex.txt	Felpham Beach	resolved	50.7890	-0.656	beach	No direct Nominatim beach; representative south-coast foreshore by Felpham.
67	west-sussex.txt	Middleton-on-Sea	resolved	50.7905472	-0.6209590	village	Nominatim (Middleton-on-Sea).
68	west-sussex.txt	Middleton-on-Sea Beach	resolved	50.7925	-0.612	beach	No direct Nominatim beach; representative shingle frontage S of the village.
69	west-sussex.txt	Elmer	resolved	50.7926412	-0.6059400	village	Nominatim (Elmer).
70	west-sussex.txt	Elmer Beach	resolved	50.7930	-0.608	beach	Nominatim hits were shops on Elmer Road; representative beach access/coast here.
71	west-sussex.txt	Atherington	resolved	50.7983937	-0.5734066	hamlet	Nominatim (Atherington).
72	west-sussex.txt	Atherington Beach	resolved	50.7972	-0.575	beach	No Nominatim beach; shingle frontage by Atherington toward Climping.
73	west-sussex.txt	Climping	resolved	50.8054746	-0.5785797	suburb	Nominatim (Climping administrative boundary).
74	west-sussex.txt	Climping Beach	resolved	50.7980551	-0.5749738	beach	Representative point from Climping Beach Cafe (disused) on Climping Street foreshore.
75	west-sussex.txt	Climping Gap	resolved	50.7990	-0.565	coastal_gap	No Nominatim object; shingle gap between Climping and Littlehampton West Beach (approximate).
76	west-sussex.txt	Kingston Gorse	resolved	50.8038820	-0.4577940	hamlet	Nominatim (Kingston Gorse).
77	west-sussex.txt	Rustington	resolved	50.8110774	-0.5101687	village	Nominatim (Rustington).
78	west-sussex.txt	Rustington Beach	resolved	50.8120	-0.505	beach	No Nominatim beach; representative Sea Road / greensward seafront.
79	west-sussex.txt	East Preston	resolved	50.8087876	-0.4832171	village	Nominatim (East Preston).
80	west-sussex.txt	East Preston Beach	resolved	50.8095	-0.478	beach	No Nominatim beach; representative coastal strip by the village.
81	west-sussex.txt	Angmering-on-Sea	resolved	50.8043135	-0.4766632	village	Nominatim (Angmering on Sea).
82	west-sussex.txt	Kingston	resolved	50.8077467	-0.4597681	hamlet	Nominatim (Kingston by Angmering-on-Sea — disambiguated from other Kingstons).
83	west-sussex.txt	Littlehampton	resolved	50.8095801	-0.5424424	town	Nominatim (Littlehampton).
84	west-sussex.txt	Littlehampton East Beach	resolved	50.8021302	-0.5294193	beach	Nominatim (natural=beach Littlehampton East Beach).
85	west-sussex.txt	Littlehampton West Beach	resolved	50.8000295	-0.5511727	beach	Nominatim leisure=nature_reserve West Beach Local Nature Reserve (foreshore zone).
