line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	wexford.txt	Campile	resolved	52.2879607	-6.9413398	village	Nominatim place=village (preferred over river hit for same name).
2	wexford.txt	Arthurstown	resolved	52.2419927	-6.9518356	village	
3	wexford.txt	Arthurstown Quay	resolved	52.2410	-6.9505	harbour	Judged quay/harbourfront SW of village centroid; no separate OSM POI.
4	wexford.txt	Ballyhack	resolved	52.2452333	-6.9682764	village	
5	wexford.txt	Ballyhack Castle	resolved	52.2459634	-6.9674401	attraction	
6	wexford.txt	Ballyhack Ferry	resolved	52.2456	-6.9690	ferry	Approx. ferry slip on Wexford (Ballyhack) shore; no dedicated hit.
7	wexford.txt	King's Bay	resolved	52.2418832	-6.9547847	bay	
8	wexford.txt	Duncannon	resolved	52.2211436	-6.9335442	village	
9	wexford.txt	Duncannon Beach	resolved	52.2207333	-6.9334103	beach	OSM beach/information point on strand road.
10	wexford.txt	Duncannon Strand	resolved	52.2190429	-6.9273076	beach	
11	wexford.txt	Duncannon Fort	resolved	52.2209429	-6.9365833	attraction	
12	wexford.txt	Duncannon Harbour	resolved	52.2219267	-6.937427	harbour	OSM pier/harbour area.
13	wexford.txt	Barrow Estuary Wexford Shore	ambiguous				Long linear Wexford shoreline along the Barrow estuary; not a single point.
14	wexford.txt	Hook Peninsula	resolved	52.1720	-6.9325	peninsula	Representative mid-peninsula point; Nominatim text search surfaced unrelated POIs.
15	wexford.txt	Ring of Hook	resolved	52.1237579	-6.9294595	route	Scenic loop; pin at Hook Lighthouse as iconic coastal stop on the ring.
16	wexford.txt	Slade	resolved	52.1339882	-6.9109316	village	
17	wexford.txt	Slade Harbour	resolved	52.1339155	-6.9108742	harbour	OSM result named harbour stop; harbour/ferry pocket in Slade.
18	wexford.txt	Slade Castle	resolved	52.1338279	-6.9106398	castle	
19	wexford.txt	Hook Head	resolved	52.1232072	-6.9305068	headland	
20	wexford.txt	Hook Head Lighthouse	resolved	52.1237579	-6.9294595	lighthouse	
21	wexford.txt	Hook Lighthouse	resolved	52.1237579	-6.9294595	lighthouse	Same tower as Hook Head Lighthouse.
22	wexford.txt	Loftus Hall	resolved	52.1486579	-6.9105972	attraction	Historic house / visitor attraction on Hook Peninsula.
23	wexford.txt	Fethard-on-Sea	resolved	52.1915688	-6.8398404	village	OSM uses local name Fethard.
24	wexford.txt	Fethard	resolved	52.1915688	-6.8398404	village	Same settlement as Fethard-on-Sea in local usage.
25	wexford.txt	Templetown	resolved	52.1801290	-6.8949088	locality	OSM administrative locality for Templetown ED area.
26	wexford.txt	Templetown Strand	resolved	52.1785945	-6.9013086	beach	OSM Templetown Bay Beach.
27	wexford.txt	Dollar Bay	resolved	52.1966552	-6.9032260	beach	OSM Dollar Bay Beach.
