line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	wicklow.txt	Bray	resolved	53.203	-6.098	town	Wikipedia / GeoHack city centroid (Bray, County Wicklow).
2	wicklow.txt	Bray Seafront	resolved	53.2047	-6.0995	beach	Judged seafront / strand frontage S of town centre (human-map coastal strip).
3	wicklow.txt	Bray Promenade	resolved	53.2050	-6.0993	promenade	Main Victorian promenade along the north beach front.
4	wicklow.txt	Bray Esplanade	resolved	53.2048	-6.0994	promenade	Esplanade contiguous with promenade / seafront (same coastal strip).
5	wicklow.txt	Bray Harbour	resolved	53.2055	-6.0965	harbour	Small harbour / marina basin at N end of front (judged coastal pocket).
6	wicklow.txt	Bray Beach	resolved	53.2045	-6.0997	beach	Main sandy beach in front of the promenade.
7	wicklow.txt	Bray Head	resolved	53.1905	-6.0842	headland	Wikipedia summit coords (241 m hill / headland between Bray and Greystones).
8	wicklow.txt	Bray Head shore	resolved	53.1885	-6.0860	coast	Foot-of-cliff / shoreline at Bray Head (seaward of summit pin).
9	wicklow.txt	Bray Head cliff walk	resolved	53.1750	-6.0750	coastal_path	Representative point along the rail/cliff line (linear feature; not the full path).
10	wicklow.txt	Cliff Walk Bray to Greystones	ambiguous			coastal_path	Long linear cliff/rail walk; no single canonical coordinate.
11	wicklow.txt	Killincarrig	resolved	53.1361	-6.0776	village	Wikipedia / GeoHack village centroid.
12	wicklow.txt	Killincarrig shore	resolved	53.1380	-6.0650	coast	Judged seaward (E) toward the strand from the village crossroads.
13	wicklow.txt	Greystones	resolved	53.1440	-6.0720	town	GeoHack / common gazetteer centroid (Greystones).
14	wicklow.txt	Greystones Seafront	resolved	53.1450	-6.0740	beach	Coastal strip at town frontage (human-map seafront).
15	wicklow.txt	Greystones Promenade	resolved	53.1452	-6.0745	promenade	Seafront promenade contiguous with north beach area.
16	wicklow.txt	Greystones Harbour	resolved	53.1413	-6.0635	harbour	Historic harbour / cove at S end of built-up front (judged harbour mouth).
17	wicklow.txt	Greystones Marina	resolved	53.1420	-6.0620	marina	Modern marina basin S of town centre (judged basin).
18	wicklow.txt	Greystones North Beach	resolved	53.1470	-6.0760	beach	North / Bray-side end of Greystones frontage.
19	wicklow.txt	Greystones South Beach	resolved	53.1400	-6.0695	beach	South strand toward Kilcoole (distinct from north end).
20	wicklow.txt	North Beach Greystones	resolved	53.1470	-6.0760	beach	Same coastal feature as “Greystones North Beach” (separate list line).
21	wicklow.txt	South Beach Greystones	resolved	53.1400	-6.0695	beach	Same coastal feature as “Greystones South Beach” (separate list line).
22	wicklow.txt	Greystones Blue Flag beach	resolved	53.1402	-6.0693	beach	Blue-flag strand at Greystones (south beach cluster).
23	wicklow.txt	Kilcoole	resolved	53.1028	-6.0650	village	Common gazetteer centroid (village inland of the marsh/beach).
24	wicklow.txt	Kilcoole Beach	resolved	53.1019	-6.0392	beach	Wikimapia / DMS for “Kilcoole Beach” (shingle front on east coast).
25	wicklow.txt	Kilcoole shore	resolved	53.1030	-6.0520	coast	Generic coastal strip between village and open beach.
26	wicklow.txt	Kilcoole station beach	resolved	53.1045	-6.0540	beach	Coastal strand near Kilcoole railway station (judged station-side shore).
27	wicklow.txt	Kilcoole Marshes shore	resolved	53.1070	-6.0480	marsh	Northern marsh / lagoon shoreline (East Coast wetland complex).
28	wicklow.txt	Kilcoole Point	resolved	53.0990	-6.0410	headland	Judged minor coastal point S of Kilcoole beach / The Breaches area.
29	wicklow.txt	The Rock Kilcoole	resolved	53.1020	-6.0510	rock	Judged coastal rock feature on Kilcoole strand (no dedicated authoritative pin).
30	wicklow.txt	Newcastle	resolved	53.0692	-6.0621	village	Wikipedia centroid (Newcastle, County Wicklow).
31	wicklow.txt	Newcastle shore	resolved	53.0715	-6.0560	coast	Seaward / beach-side of Newcastle relative to village centroid (east toward Irish Sea).
32	wicklow.txt	Newcastle Aerodrome coast	resolved	53.0731	-6.0364	coast	Published aerodrome reference (EINC) on Sea Road; judged coastal margin of the airfield strip.
33	wicklow.txt	East Coast Nature Reserve Newcastle	resolved	53.0704	-6.0428	reserve	Sat-nav coords published for BirdWatch Ireland ECNR main entrance (birdwatching guides).
34	wicklow.txt	BirdWatch Ireland Newcastle Reserve shore	resolved	53.0685	-6.0440	coast	Coastal shingle / rail-crossing access side of ECNR (human-map shore, not inland hides).
35	wicklow.txt	Killoughter	resolved	53.0298	-6.0800	townland	Logainm.ie / townlands.ie centrepoint (Kilcoole area townland).
36	wicklow.txt	Killoughter shore	resolved	53.0300	-6.0550	coast	Judged Irish Sea margin east of Killoughter townland centre (coastal strip).
37	wicklow.txt	Ballygannon shore	resolved	53.1181	-6.0380	coast	Logainm centre for Kilcoole ED Ballygannon; point shifted east onto coastal shingle belt.
